,id,fdid,state,name,res_structure_fire_count,geom_id,source
302,98885,09222,NC,Wendell Holmes Rural Fire Department,174,17021,incorporatedplace
303,98155,20015,LA,Ville Platte Fire Department,174,1139,incorporatedplace
304,87686,30213,ND,Mandan Fire Department,173,17772,incorporatedplace
305,84852,19104,WV,Independent Fire Company,173,46195,minorcivildivision
306,85177,07900,GA,Jasper County Fire Services,173,2191,countyorequivalent
307,96160,81711,TN,Stewart County Volunteer Fire Service Inc.,173,1938,countyorequivalent
308,73697,02301,MN,Anoka Champlin Fire Department,173,3373,incorporatedplace
309,79690,05011,MO,DeSoto Rural Fire Protection District,173,32751,minorcivildivision
310,82048,C2420,ME,Freeport Fire Rescue,172,2054,minorcivildivision
311,96562,0365,OR,Sweet Home Fire & Ambulance District,172,11634,incorporatedplace
312,93210,42029,NY,Rensselaer Fire Department,171,18665,incorporatedplace
313,77653,00503,AL,City of Foley Fire Department,171,7780,incorporatedplace
314,77194,02303,MI,Charlotte Fire Department,171,2437,incorporatedplace
315,74120,50202,MN,Austin Fire Department,171,3285,incorporatedplace
316,74625,05802,MI,Bedford Fire Department,170,4100,unincorporatedplace
317,91510,09417,MO,Park Hills Fire Department,170,4801,incorporatedplace
318,91943,39307,SC,Pickens Fire Department,170,13117,incorporatedplace
319,95520,21302,SC,South Lynches Fire Department,170,13470,incorporatedplace
320,99179,01013,OH,West Union Volunteer Fire Department,170,17094,incorporatedplace
321,89363,08013,OH,Mount Orab Fire Department  Inc.,170,19590,incorporatedplace
322,73676,BB602,TX,Angleton Fire Department,169,15348,incorporatedplace
323,99602,94743,TN,Williamson County Fire & Rescue,169,38733,minorcivildivision
324,98868,40009,OH,Wellston Fire Department,169,16702,incorporatedplace
325,86349,04410,MI,Lapeer Fire & Rescue,169,385,incorporatedplace
326,94811,70106,MN,Shakopee Fire Department,169,2087,incorporatedplace
327,89858,SA410,TX,New Caney Volunteer Fire Department,168,39237,minorcivildivision
328,98256,00407,NC,Wadesboro Fire Department,168,16462,incorporatedplace
329,82346,CX503,TX,Gatesville Fire Department,168,13263,incorporatedplace
330,91971,27D05,WA,Pierce County Fire Protection District NO 5 (Gig Harbor),167,620,unincorporatedplace
331,83676,56001,AR,Harrisburg Volunteer Fire Department,167,9045,incorporatedplace
332,89348,02198,PA,Mount Lebanon Fire Department,167,18208,minorcivildivision
333,85837,19D02,WA,Kittitas County Fire Protection District #2,167,37567,minorcivildivision
334,82701,20018,DE,Good-Will Fire Company NO 1,166,7840,incorporatedplace
335,99041,KA663,TX,West I-10 Volunteer Fire Department,166,46498,minorcivildivision
336,76748,07801,MO,Caruthersville Fire Department,166,2442,incorporatedplace
337,74482,00501,AL,Bay Minette Fire - Rescue,166,7778,incorporatedplace
338,95497,CS842,IL,South Holland Fire Department,166,7452,incorporatedplace
339,82512,WT505,TX,Gilmer Fire Department,166,13561,incorporatedplace
340,93811,DD321,IL,Roselle Fire Department,165,6286,incorporatedplace
341,88861,27119,MN,Minnetonka Fire Department,165,1098,incorporatedplace
342,74321,33005,CA,Banning Fire Service,165,9250,incorporatedplace
343,97495,72001,MS,Tunica Fire Department,165,2745,incorporatedplace
344,84222,36005,OH,Hillsboro Fire & Rescue,165,17068,incorporatedplace
345,79455,04301,GA,Decatur County Fire Rescue,164,42225,minorcivildivision
346,76897,21002,UT,Cedar City Fire Department,164,14350,incorporatedplace
347,78616,04005,OH,Conneaut Fire Department,164,18138,incorporatedplace
348,76488,50007,OH,Campbell Fire Department,164,15038,incorporatedplace
349,76312,09005,LA,Caddo Parish Fire District #1,164,1798,minorcivildivision
350,96382,03611,MO,Sullivan Fire Protection District,164,18907,incorporatedplace
351,92212,04117,MI,Plainfield Fire Department,164,1924,unincorporatedplace
352,87780,62118,MN,Maplewood Fire Department,163,1273,incorporatedplace
353,95535,SA412,TX,South Montgomery County Volunteer Fire Department,163,39237,minorcivildivision
354,84249,03502,VA,Hillsville Volunteer Fire Department,163,15223,incorporatedplace
355,93649,16500,VA,Rockingham County Department of Fire & Rescue,163,974,countyorequivalent
356,92206,76140,OH,Plain Township Fire and Rescue,163,25740,minorcivildivision
357,96138,10711,VA,Sterling Volunteer Fire Company  Inc.,162,39577,minorcivildivision
358,96687,A8558,KY,Taylor County Fire Department,162,4866,incorporatedplace
359,92721,14900,VA,Prince George Fire  EMS  & Emergency Management,162,9520,unincorporatedplace
360,74224,18D02,WA,Bainbridge Island Fire Department,162,10004,incorporatedplace
361,86094,23314,SC,Lake Cunningham Fire Department,161,18356,minorcivildivision
362,93257,72141,TN,Rhea County Volunteer Fire Department,161,1134,countyorequivalent
363,85518,09004,NE,Kearney Volunteer Fire Department,161,18733,incorporatedplace
364,86351,48005,LA,LaPlace Volunteer Fire Department,161,653,minorcivildivision
365,94719,67006,OK,Seminole Fire Department,161,11441,incorporatedplace
